key;allasutus_en
Riigi Infokommunikatsiooni Sihtasutus (RIKS);State Information Communication Foundation
Riigi Infosüsteemi Amet (RIA);Information System Authority
Riigi Tugiteenuste Keskus;State Supporting Services Centre
Riigikantselei;Government Office
Riiklik Lepitaja;Official Mediator   
SA Eesti Kontsert;The State Concert Institute
SA Eesti Puuetega Inimeste Fond;Estonian Chamber of Disabled People
SA Eesti Riiklik Sümfooniaorkester;Estonian National Symphony Orchestra Foundation
SA Eesti Vabaõhumuuseum;Estonian Open Air Museum
SA Endla Teater;Foundation of Theatre Endla
SA Erametsakeskus;Foundation Private Forest Centre
SA Haapsalu ja Läänemaa Muuseumid;Foundation of Haapsalu and Läänemaa Museums
SA Haapsalu Neuroloogiline Rehabilitatsioonikeskus;Haapsalu Neurological Rehabilitation Centre
SA Hiiumaa Muuseumid;Museum of Hiiumaa
SA Kodanikuühiskonna Sihtkapital;National Foundation of Civil Society
SA Kultuurileht;Foundation Kultuurileht
SA Põhja-Eesti Regionaalhaigla;North Estonia Medical Centre
SA Pärnu Muuseum;Foundation Museum of Pärnu
SA Rakvere Teatrimaja;Foundation of Rakvere Teatrimaja
SA Sillamäe Narkorehabilitatsioonikeskus;Sillamäe Rehabilitation Center for Drug Addicts
SA Tartu Ülikooli Kliinikum;Tartu University Hospital
SA Teaduskeskus AHHAA;Science Centre AHHAA
SA Teater NO99;Theatre NO99
SA Teater Vanemuine;Vanemuine Theatre
SA Tehvandi Spordikeskus;Tehvandi Sport Center
SA Ugala Teater;Theatre Ugala
SA UNESCO Eesti Rahvuslik Komisjon;Estonian National Commission for UNESCO
SA Vene Teater;Russian Theatre
SA Viljandi Haigla;Viljandi Hospital
SA Virumaa Muuseumid;Museums of Virumaa
Saaremaa Muuseum;Saaremaa Museum
Seli tervisekeskus;Seli Health Centre
Sihtasutus Archimedes;Archimedes Foundation
Sihtasutus Ida-Virumaa Tööstusalade Arendus;Foundation Ida-Virumaa Industrial Areas Development
Sihtasutus Innove;Foundation Innove
Sihtasutus KredEx;Foundation KredEx
Sihtasutus Kutsekoda;Estonian Qualifications Authority
Sihtasutus Tallinna Teaduspark TEHNOPOL;Foundation Tallinn Science Park TEHNOPOL
Sisekaitseakadeemia;Estonian Academy of Security Sciences
Siseministeerium;Ministry of Interior
Siseministeeriumi infotehnoloogia- ja arenduskeskus;IT and Development Centre of Ministry of the Interior
Soolise võrdõiguslikkuse ja võrdse kohtlemise volinik;Gender Equality and Equal Treatment Commissioner
Sotsiaalkindlustusamet;Social Insurance Board
Sotsiaalministeerium;Ministry of Social Affairs
Spordikoolituse ja –Teabe Sihtasutus;Spordikoolituse ja –Teabe Sihtasutus
Statistikaamet;Statistics Estonia
Tarbijakaitseamet;Consumer Protection Authority
Tartu Kunstimuuseum;Tartu Art Museum
Tartu Maavalitsus;Tartu Regional Government
Teabeamet;Estonian Information Board
Tehnilise Järelevalve Amet;Technical Regulatory Authority
Tervise Arengu Instituut;National Institute for Health Development
Terviseamet;Health Board
Tööinspektsioon;Labour Inspectorate
Tööstusomandi apellatsioonikomisjon;Tööstusomandi apellatsioonikomisjon
Veeteede Amet;Maritime Administration
Veterinaar- ja Toiduamet;Veterinary and Food Board
Veterinaar- ja Toidulaboratoorium;Veterinary and Food Laboratory
Viljandi Muuseum;Viljandi Museum
Võru Instituut;Võro Institute
Välisministeerium;Ministry of Foreign Affairs
Rapla Maavalitsus;Rapla Regional Government
Viljandi Maavalitsus;Viljandi Regional Government
Saare Maavalitsus;Saare Regional Government
J�geva Maavalitsus;J�geva Regional Government
J�rva Maavalitsus;J�rva Regional Government
L��ne Maavalitsus;L��ne Regional Government
L��ne-Viru Maavalitsus;L��ne-Virumaa Regional Government
P�lva Maavalitsus;P�lva Regional Government
Valga Maavalitsus;Valga Regional Government
V�ru Maavalitsus;V�ru Regional Government
Harju Maavalitsus;Harju Regional Government
Hiiu Maavalitsus;Hiiu Regional Government
Ida-Viru Maavalitsus;Ida-Viru Regional Government
